Lap,nSamples,mean,DeltaToWT
1,0,NaN,NaN
2,36,-1.9739698461575,-0.0848301538425029
3,0,NaN,NaN
4,0,NaN,NaN
5,103,-2.07549302676625,-0.0523069732337533
6,9,-2.0858896677163,-0.0419103322837002
