Lap,nSamples,mean,DeltaToWT
1,0,NaN,NaN
2,0,NaN,NaN
3,0,NaN,NaN
4,14,-1.88409575407221,-0.128004245927791
5,132,-1.88255308988503,-0.129546910114972
6,0,NaN,NaN
