Lap,nSamples,mean,DeltaToWT
1,9,-2.02680582503202,0.0707058250320156
2,39,-1.97500739788052,0.018907397880525
3,0,NaN,NaN
4,0,NaN,NaN
5,0,NaN,NaN
6,0,NaN,NaN
