Lap,nSamples,mean,DeltaToWT
1,99,-2.05783201186433,-0.0441679881356718
2,10,-2.05771072278523,-0.0442892772147689
3,186,-2.06068799074951,-0.0413120092504871
4,148,-2.09669257766398,-0.0165074223360238
5,69,-2.09335810928811,-0.0198418907118945
6,24,-2.08956938309085,-0.0236306169091489
