Lap,nSamples,mean,DeltaToWT
1,0,NaN,NaN
2,0,NaN,NaN
3,24,-1.67483767430496,-0.254962325695036
4,0,NaN,NaN
5,0,NaN,NaN
6,0,NaN,NaN
