Lap,nSamples,mean,DeltaToWT
1,333,-2.06206877110207,-0.0237312288979261
2,104,-2.06773828966268,-0.0180617103373213
3,252,-2.07275174194931,-0.0130482580506865
4,110,-2.10635588414052,0.009555884140521
5,253,-2.10710347788357,0.0103034778835749
6,172,-2.10569397941144,0.0088939794114391
